Arizona,21,79
Colorado,23,77
Nevada,19,81
Oklahoma,19,81
South Carolina,23,77
Utah,23,77
Texas,23,77
New Mexico,18,82
Georgia,23,77
Tennessee,21,79
Nebraska,15,85
Alabama,21,79
Missouri,22,78
Louisiana,20,80
Florida,27,73
Idaho,25,75
Indiana,21,79
Wyoming,15,85
North Carolina,28,72
California,23,77
Arkansas,21,79
Minnesota,20,80
Mississippi,23,77
Michigan,24,76
Kansas,21,79
Ohio,25,75
Kentucky,22,78
North Dakota,17,83
South Dakota,16,84
Iowa,20,80
Oregon,28,72
Illinois,27,73
Virginia,28,72
Wisconsin,22,78
Washington,30,70
Maryland,28,72
Delaware,36,64
Montana,23,77
Pennsylvania,35,65
Rhode Island,36,64
District of Columbia,30,70
Connecticut,38,62
West Virginia,32,68
New Jersey,42,58
Massachusetts,44,56
New Hampshire,44,56
Alaska,29,71
Hawaii,33,67
New York,39,61
Maine,44,56
Vermont,37,63