Average Precipitation inches	State
59.15	Louisiana
56.48	Mississippi
56.00	Alabama
54.73	Florida
51.85	Tennessee
50.33	Hawaii
50.22	Georgia
50.07	Connecticut
49.96	Rhode Island
49.72	Arkansas
49.24	South Carolina
48.42	Massachusetts
48.02	New Jersey
46.92	North Carolina
46.27	Kentucky
45.82	Delaware
45.49	Maine
44.84	New Hampshire
44.36	West Virginia
43.62	Oregon
42.87	New York
42.77	Pennsylvania
42.76	Virginia
42.70	Maryland
42.58	Vermont
42.52	Missouri
42.17	District of Columbia
41.86	Indiana
39.24	Ohio
38.67	Washington
38.52	Illinois
37.62	Oklahoma
35.00	Texas
34.50	Iowa
33.11	Wisconsin
32.79	Michigan
32.43	Kansas
29.03	Alaska
28.61	Minnesota
26.66	Nebraska
22.97	California
22.02	South Dakota
18.59	North Dakota
16.98	Colorado
16.91	Idaho
15.79	Utah
14.92	Montana
14.24	New Mexico
13.23	Wyoming
11.80	Arizona
9.46	Nevada